NomEntreprise,,,,,,,,,,,,
,,,,,,unit,test,,,,checkSum,check run 
,client_id,num_facture,date_facture,nom_unit,description,nombre_unit,prix_unit,total,taxe,total_net,4012015,31715
,25,110,4/1/2024 00:00:00+00,Charm Necklace, Handcrafted stainless necklace     ,2,25,50,2.5,45,4162015,5436035
,25,111,4/1/2024 00:00:00+00,blue daisy Bracelet,Custom-designed beaded bracelet ,3,20,60,2,54,4162015,54356644
,25,112,4/1/2024 00:00:00+00,Blossom  Earrings,Sterling silver earrings,1,30,30,3,27,7302015,1293267
,25,113,4/3/2024 00:00:00+00,Stellar Necklace,Pendant necklace,5,40,200,4,180,8062015,73115
,25,114,4/3/2024 00:00:00+00,XOXO Bracelet,Hand-stitched leather cuff bracelet,2,15,30,1.5,28.5,3162017,1
,25,115,4/5/2024 00:00:00+00,Ribbon Earrings         ,Ribbon earrings with  pearls,1,20,20,2,18,12062018,101718
,25,116,4/6/2024 00:00:00+00,Serenity Necklace,Gold-plated chain necklace,4,18,72,1.8,66.8,12062018,937570
,25,117,4/7/2024 00:00:00+00,Lilly Bracelet,crystal  bracelet,1,30,30,3,27,12062018,694560
,25,118,4/9/2024 00:00:00+00,Ribbon Earrings         ,Ribbon earrings with  pearls,2,20,40,2,36,7152010,840
,25,119,4/9/2024 00:00:00+00,Blair Necklace,Hand-carved wooden pendant necklace,1,60,60,6,54,8052010,864
,25,120,4/9/2024 00:00:00+00,blue daisy Bracelet,Custom-designed beaded bracelet,3,20,60,2,54,8122010,868
,25,121,4/11/2024 00:00:00+00,Ribbon Earrings         ,Ribbon earrings with  pearls,2,20,40,2,36,11182010,936
,25,122,4/12/2024 00:00:00+00,Charm Necklace,Handcrafted stainless necklace    ,1,25,25,2.5,22.5,3032011,970
,25,123,4/12/2024 00:00:00+00,XOXO Bracelet,Hand-stitched leather cuff bracelet,4,15,60,1.5,57,4072011,982
,25,124,4/14/2024 00:00:00+00,Van Cleef Earrings,stainless Steel earrings,3,20,60,2,54,4072011,982A
,25,125,4/14/2024 00:00:00+00,Office Supplies,"Printer paper, pens, stapler, etc.",1,50,-50,0,-50,3242011,981
,25,126,4/14/2024 00:00:00+00,Material Purchase,"Pearls, Stainless Steal, pendants, etc.",1,200,-200,0,-200,5122011,1000
,25,127,4/17/2024 00:00:00+00,Marketing Services,Social media advertising campaign,1,300,-300,0,-300,5122011,1001
,25,128,4/18/2024 00:00:00+00,Stellar Necklace,Pendant necklace          ,1,40,40,4,36,5192011,1004
,25,129,4/19/2024 00:00:00+00,Lilly Bracelet,crystal  bracelet,2,30,60,3,54,5262011,1021
,25,130,4/19/2024 00:00:00+00,Ribbon Earrings           , Ribbon earrings with  pearls ,3,20,60,2,69,5262011,1025
,25,131,4/21/2024 00:00:00+00,Charm Necklace,Handcrafted stainless necklace,3,25,75,2.5,69.5,6182015,7001026499
,25,132,4/21/2024 00:00:00+00,blue daisy Bracelet,Custom-designed beaded bracelet       ,1,20,20,2,18,4012015,31715
,25,133,4/21/2024 00:00:00+00,Ribbon Earrings         ,Ribbon earrings with  pearls,4,20,80,2,72,4162015,5436035
,25,134,4/21/2024 00:00:00+00,Stellar Necklace,Pendant necklace,2,40,80,4,72,4162015,54356644
,25,135,4/25/2024 00:00:00+00,Lilly Bracelet,crystal  bracelet,1,30,30,3,27,7302015,1293267
,25,136,4/26/2024 00:00:00+00,Ribbon Earrings         ,Ribbon earrings with  pearls,3,20,60,2,54,8062015,73115
,25,137,4/28/2024 00:00:00+00,Charm Necklace,Handcrafted stainless necklace,2,25,50,2.5,45,3162017,1
,25,138,4/28/2024 00:00:00+00,XOXO Bracelet, Hand-stitched leather cuff bracelet,1,15,15,1.5,13.5,12062018,101718
,25,139,4/30/2024 00:00:00+00,Blossom  Earrings,Sterling silver earrings,4,30,120,3,108,,
